dataset,configuration,seed,model,batch_frac,n_layers,entangle,encoding_strategy,n_qubits,n_params,cnot_count,attribute,spd,eod,aod,trace_distance_input,qsp_diff_output,is_bias_pair_candidate
german_credit,L2_all_to_all_re_upload,7,XGBoost_stub,0.25,2,all_to_all,re_upload,9,36,72,overall,0.226063829787234,0.2177045177045177,0.2359970769716823,0.3081464781687421,0.2637840749974351,False
german_credit,L2_all_to_all_re_upload,7,MLP,0.25,2,all_to_all,re_upload,9,36,72,age,0.0,0.0,0.0,0.3081464781687421,0.2637840749974351,False
german_credit,L2_all_to_all_re_upload,7,MLP,0.25,2,all_to_all,re_upload,9,36,72,sex,0.0,0.0,0.0,0.3081464781687421,0.2637840749974351,False
german_credit,L2_all_to_all_re_upload,7,MLP,0.25,2,all_to_all,re_upload,9,36,72,overall,0.0,0.0,0.0,0.3081464781687421,0.2637840749974351,False
german_credit,L2_all_to_all_re_upload,17,RandomForest,0.25,2,all_to_all,re_upload,9,36,72,age,0.08903162858769,0.050574712643678,0.098339304373787,0.1346248717684917,0.0534326645348928,False
german_credit,L2_all_to_all_re_upload,17,RandomForest,0.25,2,all_to_all,re_upload,9,36,72,sex,-0.0215666435912454,-0.0442176870748298,-0.0126826140292182,0.1346248717684917,0.0534326645348928,False
german_credit,L2_all_to_all_re_upload,17,RandomForest,0.25,2,all_to_all,re_upload,9,36,72,overall,0.0170972644376899,-0.01890756302521,0.0343060301043494,0.1346248717684917,0.0534326645348928,False
german_credit,L2_all_to_all_re_upload,17,XGBoost_stub,0.25,2,all_to_all,re_upload,9,36,72,age,0.1381413123018131,0.1170114942528735,0.1683542319749216,0.1346248717684917,0.0534326645348928,False
german_credit,L2_all_to_all_re_upload,17,XGBoost_stub,0.25,2,all_to_all,re_upload,9,36,72,sex,0.0926034400127802,0.1530612244897959,0.1048093007694881,0.1346248717684917,0.0534326645348928,False
german_credit,L2_all_to_all_re_upload,17,XGBoost_stub,0.25,2,all_to_all,re_upload,9,36,72,overall,0.1050531914893616,0.1422735760971055,0.1231383579072654,0.1346248717684917,0.0534326645348928,False
german_credit,L2_all_to_all_re_upload,17,MLP,0.25,2,all_to_all,re_upload,9,36,72,age,-0.0556142775835433,-0.0156321839080459,-0.0524589490968801,0.1346248717684917,0.0534326645348928,False
german_credit,L2_all_to_all_re_upload,17,MLP,0.25,2,all_to_all,re_upload,9,36,72,sex,0.1265243090686405,0.1638095238095238,0.1290359094457455,0.1346248717684917,0.0534326645348928,False
german_credit,L2_all_to_all_re_upload,17,MLP,0.25,2,all_to_all,re_upload,9,36,72,overall,0.0763677811550151,0.1109943977591036,0.0761015944839474,0.1346248717684917,0.0534326645348928,False
german_credit,L2_all_to_all_re_upload,27,RandomForest,0.25,2,all_to_all,re_upload,9,36,72,age,-0.0018700707374583,-0.0060851926977687,0.0015870332807452,0.0889235874257511,0.1427486669801644,True
