dataset,configuration,seed,model,batch_frac,n_layers,entangle,encoding_strategy,n_qubits,n_params,cnot_count,f1,accuracy,final_loss,best_loss
heart_disease,L1_all_to_all,17,XGBoost_stub,0.25,1,all_to_all,single,10,20,45,0.2857142857142857,0.3888888888888889,0.569076871479954,0.569076871479954
heart_disease,L1_all_to_all,17,MLP,0.25,1,all_to_all,single,10,20,45,0.0425531914893617,0.5,0.569076871479954,0.569076871479954
heart_disease,L1_all_to_all,27,RandomForest,0.25,1,all_to_all,single,10,20,45,0.0,0.5666666666666667,0.7478147409732722,0.7478147409732722
heart_disease,L1_all_to_all,27,XGBoost_stub,0.25,1,all_to_all,single,10,20,45,0.0416666666666666,0.4888888888888889,0.7478147409732722,0.7478147409732722
heart_disease,L1_all_to_all,27,MLP,0.25,1,all_to_all,single,10,20,45,0.6046511627906976,0.4333333333333333,0.7478147409732722,0.7478147409732722
heart_disease,L2_all_to_all,7,RandomForest,0.25,2,all_to_all,single,10,40,90,0.6753246753246753,0.7222222222222222,0.4847091899356159,0.4847091899356159
heart_disease,L2_all_to_all,7,XGBoost_stub,0.25,2,all_to_all,single,10,40,90,0.495049504950495,0.4333333333333333,0.4847091899356159,0.4847091899356159
heart_disease,L2_all_to_all,7,MLP,0.25,2,all_to_all,single,10,40,90,0.0,0.5666666666666667,0.4847091899356159,0.4847091899356159
heart_disease,L2_all_to_all,17,RandomForest,0.25,2,all_to_all,single,10,40,90,0.5535714285714286,0.4444444444444444,0.6448951996646775,0.6448951996646775
heart_disease,L2_all_to_all,17,XGBoost_stub,0.25,2,all_to_all,single,10,40,90,0.5370370370370371,0.4444444444444444,0.6448951996646775,0.6448951996646775
heart_disease,L2_all_to_all,17,MLP,0.25,2,all_to_all,single,10,40,90,0.0,0.4888888888888889,0.6448951996646775,0.6448951996646775
heart_disease,L2_all_to_all,27,RandomForest,0.25,2,all_to_all,single,10,40,90,0.419047619047619,0.3222222222222222,0.5246935975422605,0.5246935975422605
heart_disease,L2_all_to_all,27,XGBoost_stub,0.25,2,all_to_all,single,10,40,90,0.3373493975903614,0.3888888888888889,0.5246935975422605,0.5246935975422605
heart_disease,L2_all_to_all,27,MLP,0.25,2,all_to_all,single,10,40,90,0.6046511627906976,0.4333333333333333,0.5246935975422605,0.5246935975422605
heart_disease,L2_re_upload,7,RandomForest,0.25,2,linear,re_upload,10,40,18,0.0,0.5555555555555556,0.492251495010931,0.492251495010931
heart_disease,L2_re_upload,7,XGBoost_stub,0.25,2,linear,re_upload,10,40,18,0.1944444444444444,0.3555555555555555,0.492251495010931,0.492251495010931
heart_disease,L2_re_upload,7,MLP,0.25,2,linear,re_upload,10,40,18,0.0,0.5666666666666667,0.492251495010931,0.492251495010931
heart_disease,L2_re_upload,17,RandomForest,0.25,2,linear,re_upload,10,40,18,0.5853658536585366,0.4333333333333333,0.5455419505530186,0.5455419505530186
heart_disease,L2_re_upload,17,XGBoost_stub,0.25,2,linear,re_upload,10,40,18,0.6564885496183206,0.5,0.5455419505530186,0.5455419505530186
heart_disease,L2_re_upload,17,MLP,0.25,2,linear,re_upload,10,40,18,0.0425531914893617,0.5,0.5455419505530186,0.5455419505530186
heart_disease,L2_re_upload,27,RandomForest,0.25,2,linear,re_upload,10,40,18,0.559322033898305,0.4222222222222222,0.5585765937469417,0.5585765937469417
heart_disease,L2_re_upload,27,XGBoost_stub,0.25,2,linear,re_upload,10,40,18,0.5294117647058824,0.4666666666666667,0.5585765937469417,0.5585765937469417
heart_disease,L2_re_upload,27,MLP,0.25,2,linear,re_upload,10,40,18,0.6046511627906976,0.4333333333333333,0.5585765937469417,0.5585765937469417
heart_disease,L2_all_to_all_re_upload,7,RandomForest,0.25,2,all_to_all,re_upload,10,40,90,0.5192307692307693,0.4444444444444444,0.605392398733911,0.529085765967244
heart_disease,L2_all_to_all_re_upload,7,XGBoost_stub,0.25,2,all_to_all,re_upload,10,40,90,0.5806451612903226,0.4222222222222222,0.605392398733911,0.529085765967244
heart_disease,L2_all_to_all_re_upload,7,MLP,0.25,2,all_to_all,re_upload,10,40,90,0.0,0.5666666666666667,0.605392398733911,0.529085765967244
heart_disease,L2_all_to_all_re_upload,17,RandomForest,0.25,2,all_to_all,re_upload,10,40,90,0.44,0.3777777777777777,0.4301429019472505,0.4301429019472505
heart_disease,L2_all_to_all_re_upload,17,XGBoost_stub,0.25,2,all_to_all,re_upload,10,40,90,0.4166666666666667,0.5333333333333333,0.4301429019472505,0.4301429019472505
heart_disease,L2_all_to_all_re_upload,17,MLP,0.25,2,all_to_all,re_upload,10,40,90,0.0,0.4888888888888889,0.4301429019472505,0.4301429019472505
heart_disease,L2_all_to_all_re_upload,27,RandomForest,0.25,2,all_to_all,re_upload,10,40,90,0.4770642201834862,0.3666666666666666,0.3535135221207143,0.3535135221207143
heart_disease,L2_all_to_all_re_upload,27,XGBoost_stub,0.25,2,all_to_all,re_upload,10,40,90,0.56,0.3888888888888889,0.3535135221207143,0.3535135221207143
heart_disease,L2_all_to_all_re_upload,27,MLP,0.25,2,all_to_all,re_upload,10,40,90,0.6046511627906976,0.4333333333333333,0.3535135221207143,0.3535135221207143
student_performance,L1_linear,7,RandomForest,0.25,1,linear,single,10,20,9,0.6832740213523132,0.5435897435897435,0.6938164042823859,0.6938164042823859
student_performance,L1_linear,7,XGBoost_stub,0.25,1,linear,single,10,20,9,0.6212121212121212,0.4871794871794871,0.6938164042823859,0.6938164042823859
student_performance,L1_linear,7,MLP,0.25,1,linear,single,10,20,9,0.0,0.1435897435897435,0.6938164042823859,0.6938164042823859
student_performance,L1_linear,17,RandomForest,0.25,1,linear,single,10,20,9,0.8220858895705522,0.7025641025641025,0.4642968431679213,0.4642968431679213
student_performance,L1_linear,17,XGBoost_stub,0.25,1,linear,single,10,20,9,0.8914956011730205,0.8102564102564103,0.4642968431679213,0.4642968431679213
student_performance,L1_linear,17,MLP,0.25,1,linear,single,10,20,9,0.8947368421052632,0.8153846153846154,0.4642968431679213,0.4642968431679213
student_performance,L1_linear,27,RandomForest,0.25,1,linear,single,10,20,9,0.3062200956937799,0.2564102564102564,0.5230308696249775,0.5230308696249775
student_performance,L1_linear,27,XGBoost_stub,0.25,1,linear,single,10,20,9,0.1928934010152284,0.1846153846153846,0.5230308696249775,0.5230308696249775
student_performance,L1_linear,27,MLP,0.25,1,linear,single,10,20,9,0.9196675900277008,0.8512820512820513,0.5230308696249775,0.5230308696249775
student_performance,L2_linear,7,RandomForest,0.25,2,linear,single,10,40,18,0.1094527363184079,0.082051282051282,0.5351200325821918,0.5351200325821918
student_performance,L2_linear,7,XGBoost_stub,0.25,2,linear,single,10,40,18,0.1122448979591836,0.1076923076923077,0.5351200325821918,0.5351200325821918
student_performance,L2_linear,7,MLP,0.25,2,linear,single,10,40,18,0.0,0.1435897435897435,0.5351200325821918,0.5351200325821918
student_performance,L2_linear,17,RandomForest,0.25,2,linear,single,10,40,18,0.6796875,0.5794871794871795,0.4358219718965108,0.4358219718965108
student_performance,L2_linear,17,XGBoost_stub,0.25,2,linear,single,10,40,18,0.0898876404494382,0.1692307692307692,0.4358219718965108,0.4358219718965108
student_performance,L2_linear,17,MLP,0.25,2,linear,single,10,40,18,0.8945868945868946,0.8102564102564103,0.4358219718965108,0.4358219718965108
student_performance,L2_linear,27,RandomForest,0.25,2,linear,single,10,40,18,0.3482142857142857,0.2512820512820513,0.6098090760817104,0.6098090760817104
student_performance,L2_linear,27,XGBoost_stub,0.25,2,linear,single,10,40,18,0.7162162162162162,0.5692307692307692,0.6098090760817104,0.6098090760817104
student_performance,L2_linear,27,MLP,0.25,2,linear,single,10,40,18,0.9106145251396648,0.8358974358974359,0.6098090760817104,0.6098090760817104
student_performance,L1_all_to_all,7,RandomForest,0.25,1,all_to_all,single,10,20,45,0.4177777777777778,0.3282051282051282,0.8824198000193358,0.8824198000193358
student_performance,L1_all_to_all,7,XGBoost_stub,0.25,1,all_to_all,single,10,20,45,0.5622489959839357,0.441025641025641,0.8824198000193358,0.8824198000193358
student_performance,L1_all_to_all,7,MLP,0.25,1,all_to_all,single,10,20,45,0.0,0.1435897435897435,0.8824198000193358,0.8824198000193358
student_performance,L1_all_to_all,17,RandomForest,0.25,1,all_to_all,single,10,20,45,0.4782608695652174,0.3846153846153846,0.3887370756897351,0.3887370756897351
student_performance,L1_all_to_all,17,XGBoost_stub,0.25,1,all_to_all,single,10,20,45,0.8,0.676923076923077,0.3887370756897351,0.3887370756897351
student_performance,L1_all_to_all,17,MLP,0.25,1,all_to_all,single,10,20,45,0.4363636363636363,0.3641025641025641,0.3887370756897351,0.3887370756897351
student_performance,L1_all_to_all,27,RandomForest,0.25,1,all_to_all,single,10,20,45,0.7132867132867133,0.5794871794871795,0.4926832262549449,0.4926832262549449
student_performance,L1_all_to_all,27,XGBoost_stub,0.25,1,all_to_all,single,10,20,45,0.83125,0.7230769230769231,0.4926832262549449,0.4926832262549449
student_performance,L1_all_to_all,27,MLP,0.25,1,all_to_all,single,10,20,45,0.0786516853932584,0.1589743589743589,0.4926832262549449,0.4926832262549449
student_performance,L2_all_to_all,7,RandomForest,0.25,2,all_to_all,single,10,40,90,0.6254826254826255,0.5025641025641026,0.5153365293675717,0.5153365293675717
student_performance,L2_all_to_all,7,XGBoost_stub,0.25,2,all_to_all,single,10,40,90,0.2538071065989847,0.2461538461538461,0.5153365293675717,0.5153365293675717
student_performance,L2_all_to_all,7,MLP,0.25,2,all_to_all,single,10,40,90,0.0,0.1435897435897435,0.5153365293675717,0.5153365293675717
student_performance,L2_all_to_all,17,RandomForest,0.25,2,all_to_all,single,10,40,90,0.4424778761061947,0.3538461538461538,0.3614363321693677,0.3614363321693677
student_performance,L2_all_to_all,17,XGBoost_stub,0.25,2,all_to_all,single,10,40,90,0.5387755102040817,0.4205128205128205,0.3614363321693677,0.3614363321693677
student_performance,L2_all_to_all,17,MLP,0.25,2,all_to_all,single,10,40,90,0.9008498583569404,0.8205128205128205,0.3614363321693677,0.3614363321693677
student_performance,L2_all_to_all,27,RandomForest,0.25,2,all_to_all,single,10,40,90,0.1789473684210526,0.2,0.4885611742373408,0.4885611742373408
student_performance,L2_all_to_all,27,XGBoost_stub,0.25,2,all_to_all,single,10,40,90,0.5228215767634855,0.4102564102564102,0.4885611742373408,0.4885611742373408
student_performance,L2_all_to_all,27,MLP,0.25,2,all_to_all,single,10,40,90,0.8971428571428571,0.8153846153846154,0.4885611742373408,0.4885611742373408
student_performance,L2_re_upload,7,RandomForest,0.25,2,linear,re_upload,10,40,18,0.5968992248062015,0.4666666666666667,0.6122036494963298,0.6122036494963298
student_performance,L2_re_upload,7,XGBoost_stub,0.25,2,linear,re_upload,10,40,18,0.640926640926641,0.5230769230769231,0.6122036494963298,0.6122036494963298
student_performance,L2_re_upload,7,MLP,0.25,2,linear,re_upload,10,40,18,0.0,0.1435897435897435,0.6122036494963298,0.6122036494963298
student_performance,L2_re_upload,17,RandomForest,0.25,2,linear,re_upload,10,40,18,0.4576271186440678,0.3435897435897436,0.5205940473310454,0.5205940473310454
student_performance,L2_re_upload,17,XGBoost_stub,0.25,2,linear,re_upload,10,40,18,0.6494464944649446,0.5128205128205128,0.5205940473310454,0.5205940473310454
student_performance,L2_re_upload,17,MLP,0.25,2,linear,re_upload,10,40,18,0.7862068965517242,0.6820512820512821,0.5205940473310454,0.5205940473310454
student_performance,L2_re_upload,27,RandomForest,0.25,2,linear,re_upload,10,40,18,0.6666666666666666,0.5487179487179488,0.4839319184778822,0.4839319184778822
student_performance,L2_re_upload,27,XGBoost_stub,0.25,2,linear,re_upload,10,40,18,0.6538461538461539,0.5384615384615384,0.4839319184778822,0.4839319184778822
student_performance,L2_re_upload,27,MLP,0.25,2,linear,re_upload,10,40,18,0.9285714285714286,0.8666666666666667,0.4839319184778822,0.4839319184778822
student_performance,L2_all_to_all_re_upload,7,RandomForest,0.25,2,all_to_all,re_upload,10,40,90,0.7882736156351792,0.6666666666666666,0.642431412375396,0.642431412375396
student_performance,L2_all_to_all_re_upload,7,XGBoost_stub,0.25,2,all_to_all,re_upload,10,40,90,0.7038327526132404,0.5641025641025641,0.642431412375396,0.642431412375396
student_performance,L2_all_to_all_re_upload,7,MLP,0.25,2,all_to_all,re_upload,10,40,90,0.0,0.1435897435897435,0.642431412375396,0.642431412375396
student_performance,L2_all_to_all_re_upload,17,RandomForest,0.25,2,all_to_all,re_upload,10,40,90,0.7828947368421053,0.6615384615384615,0.4243471606891545,0.4243471606891545
student_performance,L2_all_to_all_re_upload,17,XGBoost_stub,0.25,2,all_to_all,re_upload,10,40,90,0.8430769230769231,0.7384615384615385,0.4243471606891545,0.4243471606891545
student_performance,L2_all_to_all_re_upload,17,MLP,0.25,2,all_to_all,re_upload,10,40,90,0.7196969696969697,0.6205128205128205,0.4243471606891545,0.4243471606891545
student_performance,L2_all_to_all_re_upload,27,RandomForest,0.25,2,all_to_all,re_upload,10,40,90,0.27,0.2512820512820513,0.4403091628898848,0.4403091628898848
student_performance,L2_all_to_all_re_upload,27,XGBoost_stub,0.25,2,all_to_all,re_upload,10,40,90,0.3755868544600939,0.3179487179487179,0.4403091628898848,0.4403091628898848
student_performance,L2_all_to_all_re_upload,27,MLP,0.25,2,all_to_all,re_upload,10,40,90,0.9285714285714286,0.8666666666666667,0.4403091628898848,0.4403091628898848
