dataset,configuration,model,attribute,metric,n,statistic,p_value,note
german_credit,L2_linear,RandomForest,sex,eod,3,0.9845263538050127,0.7618096633841076,descriptive only; n<8
german_credit,L2_linear,RandomForest,sex,aod,3,0.7628807811231323,0.028658756823630616,descriptive only; n<8
german_credit,L2_linear,RandomForest,sex,trace_distance_input,3,0.9333722337080491,0.5013750255222407,descriptive only; n<8
german_credit,L2_linear,RandomForest,sex,qsp_diff_output,3,0.9749322281914937,0.6963378785049303,descriptive only; n<8
german_credit,L2_linear,XGBoost_stub,age,spd,3,0.9210458732648767,0.4560277756564881,descriptive only; n<8
german_credit,L2_linear,XGBoost_stub,age,eod,3,0.9589677003996566,0.6104348969625725,descriptive only; n<8
german_credit,L2_linear,XGBoost_stub,age,aod,3,0.9579846122723445,0.6057291149543117,descriptive only; n<8
german_credit,L2_linear,XGBoost_stub,age,trace_distance_input,3,0.9333722337080491,0.5013750255222407,descriptive only; n<8
german_credit,L2_linear,XGBoost_stub,age,qsp_diff_output,3,0.9749322281914937,0.6963378785049303,descriptive only; n<8
german_credit,L2_linear,XGBoost_stub,overall,spd,3,0.9998753532522555,0.9786768738590089,descriptive only; n<8
german_credit,L2_linear,XGBoost_stub,overall,eod,3,0.9456494243152885,0.5506152681751431,descriptive only; n<8
german_credit,L2_linear,XGBoost_stub,overall,aod,3,0.9999954988724933,0.9959480660130141,descriptive only; n<8
german_credit,L2_linear,XGBoost_stub,overall,trace_distance_input,3,0.9333722337080491,0.5013750255222407,descriptive only; n<8
german_credit,L2_linear,XGBoost_stub,overall,qsp_diff_output,3,0.9749322281914937,0.6963378785049303,descriptive only; n<8
german_credit,L2_linear,XGBoost_stub,sex,spd,3,0.9762639145689066,0.7045805041937814,descriptive only; n<8
german_credit,L2_linear,XGBoost_stub,sex,eod,3,0.8192500542891765,0.1613344513769862,descriptive only; n<8
german_credit,L2_linear,XGBoost_stub,sex,aod,3,0.9889499126055686,0.798865149666985,descriptive only; n<8
german_credit,L2_linear,XGBoost_stub,sex,trace_distance_input,3,0.9333722337080491,0.5013750255222407,descriptive only; n<8
german_credit,L2_linear,XGBoost_stub,sex,qsp_diff_output,3,0.9749322281914937,0.6963378785049303,descriptive only; n<8
german_credit,L2_re_upload,MLP,age,spd,3,0.75,0.0,descriptive only; n<8
german_credit,L2_re_upload,MLP,age,eod,3,0.75,0.0,descriptive only; n<8
german_credit,L2_re_upload,MLP,age,aod,3,0.75,0.0,descriptive only; n<8
german_credit,L2_re_upload,MLP,age,trace_distance_input,3,0.874470758817135,0.3083128648168131,descriptive only; n<8
german_credit,L2_re_upload,MLP,age,qsp_diff_output,3,0.8759348259078177,0.3125432246282269,descriptive only; n<8
german_credit,L2_re_upload,MLP,overall,spd,3,0.75,0.0,descriptive only; n<8
german_credit,L2_re_upload,MLP,overall,eod,3,0.75,0.0,descriptive only; n<8
german_credit,L2_re_upload,MLP,overall,aod,3,0.75,0.0,descriptive only; n<8
german_credit,L2_re_upload,MLP,overall,trace_distance_input,3,0.874470758817135,0.3083128648168131,descriptive only; n<8
german_credit,L2_re_upload,MLP,overall,qsp_diff_output,3,0.8759348259078177,0.3125432246282269,descriptive only; n<8
german_credit,L2_re_upload,MLP,sex,spd,3,0.75,0.0,descriptive only; n<8
german_credit,L2_re_upload,MLP,sex,eod,3,0.75,0.0,descriptive only; n<8
german_credit,L2_re_upload,MLP,sex,aod,3,0.75,0.0,descriptive only; n<8
german_credit,L2_re_upload,MLP,sex,trace_distance_input,3,0.874470758817135,0.3083128648168131,descriptive only; n<8
german_credit,L2_re_upload,MLP,sex,qsp_diff_output,3,0.8759348259078177,0.3125432246282269,descriptive only; n<8
german_credit,L2_re_upload,RandomForest,age,spd,3,0.9760892839372075,0.7034869848991254,descriptive only; n<8
german_credit,L2_re_upload,RandomForest,age,eod,3,0.8228982445447919,0.170423663035159,descriptive only; n<8
german_credit,L2_re_upload,RandomForest,age,aod,3,0.9743232160154265,0.6926395461485864,descriptive only; n<8
german_credit,L2_re_upload,RandomForest,age,trace_distance_input,3,0.874470758817135,0.3083128648168131,descriptive only; n<8
german_credit,L2_re_upload,RandomForest,age,qsp_diff_output,3,0.8759348259078177,0.3125432246282269,descriptive only; n<8
german_credit,L2_re_upload,RandomForest,overall,spd,3,0.9275800716420106,0.47962385378814887,descriptive only; n<8
german_credit,L2_re_upload,RandomForest,overall,eod,3,0.9943182684147418,0.8559033610154636,descriptive only; n<8
german_credit,L2_re_upload,RandomForest,overall,aod,3,0.8501413093540187,0.24082804898564303,descriptive only; n<8
german_credit,L2_re_upload,RandomForest,overall,trace_distance_input,3,0.874470758817135,0.3083128648168131,descriptive only; n<8
